Source IP,Destination IP,Protocol,Source Port,Destination Port,Flow Duration,Timestamp,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,SYN ACK Count,CWE Flag Count,ECE Flag Count,Total Length,Flow Bytes/s,Flow Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,IAT,labels
172.30.1.12,162.159.134.234,6,64844,443,3.783351898,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,80,10.57263534,0.264315884,40,40,40,0,3.783351898,2
172.30.1.45,239.255.255.250,17,60470,1900,0.304892778,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,306,501.8157557,3.279841541,153,153,153,0,0.304892778,0
172.30.1.12,224.0.0.251,17,5353,5353,1.011162996,2023-04-30 20:01,0,0,0,0,0,0,0,0,0,142,70.21617708,0.988960241,71,71,71,0,1.011162996,0
172.30.1.45,224.0.0.251,17,5353,5353,19.97030973,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,178,4.456615906,0.050074336,89,89,89,0,19.97030973,0
172.30.1.254,239.255.255.250,17,48680,1900,27.93482542,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,854,15.28557969,0.035797611,427,427,427,0,27.93482542,0
172.30.1.254,239.255.255.250,17,48680,1900,0.013002157,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,872,33532.89711,76.91031448,436,436,436,0,0.013002157,0
172.30.1.254,239.255.255.250,17,48680,1900,0.012034178,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,872,36230.14451,83.09666171,436,436,436,0,0.012034178,0
172.30.1.254,239.255.255.250,17,48680,1900,0.000994682,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,872,438330.907,1005.346117,436,436,436,0,0.000994682,0
172.30.1.254,239.255.255.250,17,48680,1900,0.0,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,978,0.0,0.0,489,489,489,0,0.0,0
172.30.1.254,239.255.255.250,17,48680,1900,0.270317554,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,982,1816.382221,3.699352792,491,491,491,0,0.270317554,0
172.30.1.254,239.255.255.250,17,48680,1900,0.001034975,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,982,474407.5706,966.2068648,491,491,491,0,0.001034975,0
172.30.1.254,239.255.255.250,17,48680,1900,0.001009226,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,1014,502365.2558,990.8584928,507,507,507,0,0.001009226,0
172.30.1.254,239.255.255.250,17,48680,1900,0.267174721,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,950,1777.862811,3.742869075,475,475,475,0,0.267174721,0
172.30.1.254,239.255.255.250,17,48680,1900,0.005220175,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,990,94824.41105,191.5644668,495,495,495,0,0.005220175,0
172.30.1.254,239.255.255.250,17,48680,1900,0.000984669,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,998,506769.4179,1015.569976,499,499,499,0,0.000984669,0
172.30.1.12,34.237.73.95,6,64416,443,2.373528719,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,576,121.3383254,0.42131363,288,288,288,0,2.373528719,1
34.237.73.95,172.30.1.12,6,443,64416,2.339031696,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,80,17.10109361,0.42752734,40,40,40,0,2.339031696,0
172.30.1.45,239.255.255.250,17,47801,1900,0.303401232,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,306,504.2827253,3.295965525,153,153,153,0,0.303401232,0
162.159.134.234,172.30.1.12,6,443,64844,0.189850569,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,146,384.5129381,5.267300522,73,73,73,0,0.189850569,0
142.250.206.227,172.30.1.12,6,443,64962,45.04938197,2023-04-30 20:01,0,0,0,0,0,0,0,0,0,104,1.154288865,0.022197863,52,52,52,0,45.04938197,0
172.30.1.12,142.251.8.188,6,59132,5228,45.08309793,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,82,0.909431736,0.022181262,41,41,41,0,45.08309793,0
142.251.8.188,172.30.1.12,6,5228,59132,45.06610847,2023-04-30 20:01,0,0,0,0,0,0,0,0,0,104,1.153860446,0.022189624,52,52,52,0,45.06610847,0
172.30.1.12,18.155.181.108,6,64968,443,45.14757562,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,82,0.908132927,0.022149584,41,41,41,0,45.14757562,2
18.155.181.108,172.30.1.12,6,443,64968,45.14469838,2023-04-30 20:01,0,0,0,0,0,0,0,0,0,104,1.151851754,0.022150995,52,52,52,0,45.14469838,0
172.30.1.12,23.53.228.18,6,64967,443,45.00744176,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,82,0.910960463,0.022218548,41,41,41,0,45.00744176,2
23.53.228.18,172.30.1.12,6,443,64967,45.0094378,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,104,1.155313253,0.022217563,52,52,52,0,45.0094378,0
172.30.1.12,23.40.248.56,6,64982,443,45.10477042,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,82,0.908994761,0.022170604,41,41,41,0,45.10477042,2
23.40.248.56,172.30.1.12,6,443,64982,45.10027146,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,104,1.152986408,0.022172816,52,52,52,0,45.10027146,0
172.30.1.12,23.198.138.168,6,64977,443,45.09328628,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,82,0.909226259,0.02217625,41,41,41,0,45.09328628,2
23.198.138.168,172.30.1.12,6,443,64977,45.09316659,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,104,1.153168073,0.022176309,52,52,52,0,45.09316659,0
172.30.1.12,23.40.248.56,6,64980,443,45.19583249,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,82,0.907163288,0.022125934,41,41,41,0,45.19583249,2
23.40.248.56,172.30.1.12,6,443,64980,45.18973923,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,104,1.150703697,0.022128917,52,52,52,0,45.18973923,0
172.30.1.12,23.40.248.56,6,64978,443,45.10127807,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,82,0.909065148,0.022172321,41,41,41,0,45.10127807,2
172.30.1.12,142.250.76.142,6,65097,443,0.048720598,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,80,821.0079814,20.52519954,40,40,40,0,0.048720598,2
23.40.248.56,172.30.1.12,6,443,64978,45.11428809,2023-04-30 20:01,0,1,0,0,0,0,0,0,0,104,1.152628185,0.022165927,52,52,52,0,45.11428809,0
142.250.76.142,172.30.1.12,6,443,65097,0.035518646,2023-04-30 20:01,0,0,0,0,0,0,0,0,0,80,1126.169047,28.15422618,40,40,40,0,0.035518646,0
142.250.76.142,172.30.1.12,6,443,65097,0.001013994,2023-04-30 20:01,0,0,0,0,0,0,0,0,0,2904,1431960.83,986.1989184,1452,1452,1452,0,0.001013994,0
