Source IP,Destination IP,Protocol,Source Port,Destination Port,Timestamp,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,SYN_ACK_Count,Length,IAT,labels
203.217.237.67,10.50.211.217,6,443,55626,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0057916641235351,0
203.217.237.67,10.50.211.217,6,443,55626,2023-05-30 14:00:14,0,1,0,1,1,0,0,0,1,984,0.0,0
10.50.211.217,203.217.237.67,6,55626,443,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,40,0.0093073844909667,0
203.217.237.67,10.50.211.217,6,443,55626,2023-05-30 14:00:14,0,1,0,1,1,0,0,0,1,115,0.0069823265075683,0
10.50.211.217,203.217.237.67,6,55626,443,2023-05-30 14:00:14,0,1,0,1,1,0,0,0,1,701,0.0106174945831298,0
203.217.237.67,10.50.211.217,6,443,55626,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0511474609375,0
203.217.237.67,10.50.211.217,6,443,55626,2023-05-30 14:00:14,0,1,0,1,1,0,0,0,1,245,0.0005419254302978,0
10.50.211.217,203.217.237.67,6,55626,443,2023-05-30 14:00:14,0,1,0,1,1,0,0,0,1,93,0.0080735683441162,0
203.217.237.67,10.50.211.217,6,443,55626,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,40,0.0130596160888671,0
10.50.211.217,211.231.116.86,6,55627,443,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,40,0.0009975433349609,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,40,0.0025444030761718,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,1,1,0,0,0,1,1158,0.0018680095672607,0
10.50.211.217,211.231.116.86,6,55627,443,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,40,0.0062346458435058,0
10.50.211.217,211.231.116.86,6,55627,443,2023-05-30 14:00:14,0,1,0,1,1,0,0,0,1,358,0.0009958744049072,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,1,1,0,0,0,1,327,0.0010018348693847,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,1,1,0,0,0,1,1238,0.0014383792877197,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0,0
10.50.211.217,211.231.116.86,6,55627,443,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,40,0.0079264640808105,0
