Source IP,Destination IP,Protocol,Source Port,Destination Port,Timestamp,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,SYN_ACK_Count,Total Length,Flow Bytes/s,Flow Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,IAT,labels
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:20,0,0,0,0,0,0,0,0,0,1932,74.3076923076923,0.0769230769230769,966,966,966.0,0.0,,0.0135655403137207,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:20,0,0,0,0,0,0,0,0,0,1934,322.3333333333333,0.3333333333333333,967,967,967.0,0.0,,0.0031442642211914,0
172.30.1.44,66.22.228.166,17,62301,50004,2023-05-07 17:01:20,0,0,0,0,0,0,0,0,0,126,12.6,0.2,63,63,63.0,0.0,,0.0052788257598876,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:20,0,0,0,0,0,0,0,0,0,2270,59.73684210526316,0.0526315789473684,1135,1135,1135.0,0.0,,0.0192279815673828,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:20,0,0,0,0,0,0,0,0,0,2270,42.03703703703704,0.037037037037037,1135,1135,1135.0,0.0,,0.0270490646362304,0
66.22.248.8,172.30.1.44,17,50002,62161,2023-05-07 17:01:20,0,1,0,0,0,0,0,0,0,180,0.3781512605042016,0.0042016806722689,90,90,90.0,0.0,,0.2387704849243164,0
66.22.248.8,172.30.1.44,17,50002,62161,2023-05-07 17:01:20,0,1,0,0,0,0,0,0,0,148,14.8,0.2,74,74,74.0,0.0,,0.0051896572113037,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:20,0,0,0,0,0,0,0,0,0,1712,71.33333333333333,0.0833333333333333,856,856,856.0,0.0,,0.0129246711730957,0
66.22.248.8,172.30.1.44,17,50002,62161,2023-05-07 17:01:20,0,1,0,0,0,0,0,0,0,140,0.8333333333333334,0.0119047619047619,70,70,70.0,0.0,,0.084069013595581,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,1048,11.644444444444444,0.0222222222222222,524,524,524.0,0.0,,0.04571533203125,0
172.30.1.44,66.22.228.166,17,62301,50004,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,126,3.15,0.05,63,63,63.0,0.0,,0.0202419757843017,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,2104,131.5,0.125,1052,1052,1052.0,0.0,,0.0080599784851074,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,2106,263.25,0.25,1053,1053,1053.0,0.0,,0.004533052444458,0
66.22.248.8,172.30.1.44,17,50002,62161,2023-05-07 17:01:21,0,1,0,0,0,0,0,0,0,140,0.5223880597014925,0.0074626865671641,70,70,70.0,0.0,,0.1347401142120361,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,2404,12.924731182795698,0.010752688172043,1202,1202,1202.0,0.0,,0.093292236328125,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,2404,28.61904761904762,0.0238095238095238,1202,1202,1202.0,0.0,,0.0428705215454101,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,2404,1202.0,1.0,1202,1202,1202.0,0.0,,0.0011696815490722,0
172.30.1.44,66.22.248.8,17,62161,50002,2023-05-07 17:01:21,0,0,0,0,0,0,0,0,0,2404,240.4,0.2,1202,1202,1202.0,0.0,,0.0050148963928222,0
